IATA,ICAO,Name,Country,City,UTC,Latitude,Longitude
CFU,LGKR,Corfu Ioannis Kapodistrias International Airport,Greece,Kerkyra (Corfu),,,
CFV,KCFV,Coffeyville Municipal Airport,United States of America,Coffeyville,,,
CGB,SBCY,Várzea Grande-Marechal Rondon International Airport,Brazil,Cuiabá,,,
CGC,,Cape Gloucester Airport,Papua New Guinea,Cape Gloucester,,,
CGD,ZGCD,Changde Taohuayuan Airport,China,Changde (Dingcheng),,,
CGE,KCGE,Cambridge Dorchester Airport,United States of America,Cambridge,,,
CGF,KCGF,Cuyahoga County Airport,United States of America,Cleveland,,,
CGG,,Casiguran Airport,Philippines,Casiguran,,,
CGH,SBSP,Congonhas-Deputado Freitas Nobre Airport,Brazil,São Paulo,,,
CGI,KCGI,Cape Girardeau Regional Airport,United States of America,Cape Girardeau,,,
CGJ,FLKE,Kasompe Airport,Zambia,Chingola,,,
CGK,WIII,Soekarno-Hatta International Airport,Indonesia,Jakarta,,,
CGM,RPMH,Camiguin Airport,Philippines,Mambajao,,,
CGN,EDDK,Cologne Bonn Airport,Germany,Köln (Cologne),,,
CGO,ZHCC,Zhengzhou Xinzheng International Airport,China,Zhengzhou,,,
CGP,VGEG,Shah Amanat International Airport,Bangladesh,Chattogram (Chittagong),,,
CGQ,ZYCC,Changchun Longjia International Airport,China,Changchun,,,
CGR,SBCG,Campo Grande Airport,Brazil,Campo Grande,,,
CGS,KCGS,College Park Airport,United States of America,College Park,,,
CGV,YCAG,Caiguna Airport,Australia,,,,
CGY,RPMY,Laguindingan International Airport,Philippines,Laguindingan,,,
CGZ,KCGZ,Casa Grande Municipal Airport,United States of America,Casa Grande,,,
CHA,KCHA,Chattanooga Metropolitan Airport (Lovell Field),United States of America,Chattanooga,,,
CHB,OPCL,Chilas Airport,Pakistan,Chilas,,,
CHC,NZCH,Christchurch International Airport,New Zealand,Christchurch,,,
CHG,ZYCY,Chaoyang Airport,China,"Shuangta, Chaoyang",,,
CHH,SPPY,Chachapoyas Airport,Peru,Chachapoyas,,,
CHJ,FVCH,Chipinge Airport,Zimbabwe,Chipinge,,,
CHK,KCHK,Chickasha Municipal Airport,United States of America,Chickasha,,,
CHL,KLLJ,Challis Airport,United States of America,Challis,,,
CHM,SPEO,FAP Lieutenant Jaime Andres de Montreuil Morales Airport,Peru,Chimbote,,,
CHO,KCHO,Charlottesville Albemarle Airport,United States of America,Charlottesville,,,
CHP,,Circle Hot Springs Airport,United States of America,Circle Hot Springs,,,
CHQ,LGSA,Chania International Airport,Greece,Souda,,,
CHR,LFLX,Châteauroux Déols airport,France,Châteauroux,,,
CHS,KCHS,Charleston International Airport,United States of America,Charleston,,,
CHT,NZCI,Inia William Tuuta Memorial Airport,New Zealand,Te One,,,
CHU,,Chuathbaluk Airport,United States of America,Chuathbaluk,,,
CHV,LPCH,Aerodromo de Chaves,Portugal,Chaves,,,
CHX,MPCH,Changuinola Captain Manuel Niño International Airport,Panama,Changuinola,,,
CHY,AGGC,Choiseul Bay Airport,Solomon Islands,Choiseul Bay,,,
CHZ,,Chiloquin State Airport,United States of America,Chiloquin,,,
CIA,LIRA,Ciampino-G. B. Pastine International Airport,Italy,Rome,,,
CIC,KCIC,Chico Regional Airport,United States of America,Chico,,,
CID,KCID,The Eastern Iowa Airport,United States of America,Cedar Rapids,,,
CIE,YCOI,Collie Airport,Australia,Collie,,,
CIF,ZBCF,Chifeng Yulong Airport,China,Chifeng,,,
CIG,KCAG,Craig Moffat Airport,United States of America,Craig,,,
CIH,ZBCZ,Changzhi Wangcun Airport,China,Changzhi,,,
CII,LTBD,Aydın Çıldır Airport,Turkey,Aydın,,,
CIJ,SLCO,Capitán Aníbal Arab Airport,Bolivia,Cobija,,,
CIK,PACI,Chalkyitsik Airport,United States of America,Chalkyitsik,,,
CIL,,Council Airport,United States of America,Council,,,
CIM,SKCM,Cimitarra Airport,Colombia,Cimitarra,,,
CIN,KCIN,Arthur N Neu Airport,United States of America,Carroll,,,
CIO,SGCO,Lieutenant Colonel Carmelo Peralta National Airport,Paraguay,Concepción,,,
CIP,FLCP,Chipata Airport,Zambia,Chipata,,,
CIQ,,Chiquimula Airport,Guatemala,Chiquimula,,,
CIR,KCIR,Cairo Regional Airport,United States of America,Cairo,,,
CIS,PCIS,Canton Island Airport,Kiribati,Abariringa,,,
CIT,UAII,Shymkent International Airport,Kazakhstan,Shymkent,,,
CIU,KCIU,Chippewa County International Airport,United States of America,Kincheloe,,,
CIW,TVSC,Canouan Airport,Saint Vincent and the Grenadines,Canouan,,,
CIX,SPHI,Capitán FAP José A. Quiñones González International Airport,Peru,Chiclayo,,,
CIY,LICB,Comiso Airport,Italy,Comiso,,,
CIZ,SWKO,Danilson Municipal Airport,Brazil,Coari,,,
CJA,SPJR,Mayor General FAP Armando Revoredo Iglesias Airport,Peru,Cajamarca,,,
CJB,VOCB,Coimbatore International Airport,India,Coimbatore,,,
CJC,SCCF,El Loa Airport,Chile,Calama,,,
CJF,YCWA,Coondewanna Airport,Australia,Coondewanna,,,
CJH,,Chilko Lake (Tsylos Park Lodge) Airport,Canada,Chilko Lake,,,
CJJ,RKTU,Cheongju International Airport/Cheongju Air Base (K-59/G-513),South Korea,Cheongju,,,
CJL,OPCH,Chitral Airport,Pakistan,Chitral,,,
CJM,VTSE,Chumphon Airport,Thailand,Chumphon,,,
CJN,WICN,Nusawiru Airport,Indonesia,Cijulang,,,
CJS,MMCS,Abraham González International Airport,Mexico,Ciudad Juárez,,,
CJT,MMCO,San Antonio Copalar Airport,Mexico,Comitán,,,
CJU,RKPC,Jeju International Airport,South Korea,Jeju City,,,
CJZ,,Pedro Vieira Moreira Airport,Brazil,Cajazeiras,,,
CKA,KCKA,Kegelman AF Aux Field,United States of America,Cherokee,,,
CKB,KCKB,North Central West Virginia Airport,United States of America,Bridgeport,,,
CKC,UKKE,Cherkasy International Airport,Ukraine,Cherkasy,,,
CKD,,Crooked Creek Airport,United States of America,Crooked Creek,,,
CKE,,Lampson Field,United States of America,Lakeport,,,
CKG,ZUCK,Chongqing Jiangbei International Airport,China,Chongqing,,,
CKH,UESO,Chokurdakh Airport,Russia,Chokurdah,,,
CKI,YCKI,Croker Island Airport,Australia,,,,
CKK,KCVK,Sharp County Regional Airport,United States of America,Ash Flat,,,
CKM,KCKM,Fletcher Field,United States of America,Clarksdale,,,
CKN,KCKN,Crookston Municipal Kirkwood Field,United States of America,Crookston,,,
CKO,SSCP,Cornélio Procópio Airport,Brazil,Cornélio Procópio,,,
CKR,,Crane Island Airstrip,United States of America,Crane Island,,,
CKS,SBCJ,Carajás Airport,Brazil,Parauapebas,,,
CKT,OIMC,Sarakhs Airport,Iran,Sarakhs,,,
CKU,,Cordova Municipal Airport,United States of America,Cordova,,,
CKV,KCKV,Clarksville-Montgomery County Regional Airport,United States of America,Clarksville,,,
CKW,YCHK,Christmas Creek Airport,Australia,Christmas Creek Mine,,,
CKX,,Chicken Airport,United States of America,Chicken,,,
CKY,GUCY,Ahmed Sékou Touré International Airport,Guinea,Conakry,,,
CKZ,LTBH,Çanakkale Airport,Turkey,Çanakkale,,,
CLA,VGCM,Comilla Airport,Bangladesh,Comilla,,,
CLD,KCRQ,McClellan-Palomar Airport,United States of America,Carlsbad,,,
CLE,KCLE,Cleveland Hopkins International Airport,United States of America,Cleveland,,,
CLG,,New Coalinga Municipal Airport,United States of America,Coalinga,,,
CLH,YCAH,Coolah Airport,Australia,,,,
CLI,KCLI,Clintonville Municipal Airport,United States of America,Clintonville,,,
CLJ,LRCL,Avram Iancu Cluj International Airport,Romania,Cluj-Napoca,,,
CLK,KCLK,Clinton Regional Airport,United States of America,Clinton,,,
CLL,KCLL,Easterwood Field,United States of America,College Station,,,
CLM,KCLM,William R Fairchild International Airport,United States of America,Port Angeles,,,
CLN,SBCI,Brig. Lysias Augusto Rodrigues Airport,Brazil,Carolina,,,
CLO,SKCL,Alfonso Bonilla Aragon International Airport,Colombia,Cali,,,
CLP,PFCL,Clarks Point Airport,United States of America,Clarks Point,,,
CLQ,MMIA,Licenciado Miguel de la Madrid International Airport,Mexico,Colima,,,
CLR,KCLR,Cliff Hatfield Memorial Airport,United States of America,Calipatria,,,
CLS,KCLS,Chehalis Centralia Airport,United States of America,Chehalis,,,
CLT,KCLT,Charlotte Douglas International Airport,United States of America,Charlotte,,,
CLU,KBAK,Columbus Municipal Airport,United States of America,Columbus,,,
CLV,SBCN,Nelson Ribeiro Guimarães Airport,Brazil,Caldas Novas,,,
CLW,KCLW,Clearwater Air Park,United States of America,Clearwater,,,
CLX,SATC,Aeródromo de Clorinda,Argentina,Clorinda,,,
CLY,LFKC,Calvi Sainte Catherine Airport,France,Calvi,,,
CLZ,SVCL,Calabozo Airport,Venezuela,Guarico,,,
CMA,YCMU,Cunnamulla Airport,Australia,,,,
CMB,VCBI,Bandaranaike International Colombo Airport,Sri Lanka,Colombo,,,
CMC,SNWC,Camocim - Pinto Martins Airport,Brazil,Camocim,,,
CMD,YCTM,Cootamundra Airport,Australia,,,,
CME,MMCE,Ciudad del Carmen International Airport,Mexico,Ciudad del Carmen,,,
CMF,LFLB,Chambéry Aix les Bains airport,France,Chambéry,,,
CMG,SBCR,Corumbá International Airport,Brazil,Corumbá,,,
CMH,KCMH,John Glenn Columbus International Airport,United States of America,Columbus,,,
CMI,KCMI,University of Illinois Willard Airport,United States of America,Savoy,,,
CMJ,,Qimei Airport,Taiwan,Qimei,,,
CMK,FWCM,Club Makokola Airport,Malawi,Club Makokola,,,
CML,YCMW,Camooweal Airport,Australia,,,,
CMM,MGCR,Carmelita Airport,Guatemala,Carmelita,,,
CMN,GMMN,Mohammed V International Airport,Morocco,Casablanca,,,
CMO,HCMO,Hobyo Airport,Somalia,Hobyo,,,
CMQ,YCMT,Clermont Airport,Australia,,,,
CMR,LFGA,Colmar Houssen airport,France,Colmar,,,
CMS,HCMS,Iskushuban Airport,Somalia,Iskushuban,,,
CMT,,New Cametá Airport,Brazil,Cametá,,,
CMU,AYCH,Chimbu Airport,Papua New Guinea,Kundiawa,,,
CMV,NZCX,Coromandel Airport,New Zealand,Coromandel,,,
CMW,MUCM,Ignacio Agramonte International Airport,Cuba,Camaguey,,,
CMX,KCMX,Houghton County Memorial Airport,United States of America,Hancock,,,
CMY,KCMY,Sparta Fort McCoy Airport,United States of America,Sparta,,,
CMZ,,Caia Airport,Mozambique,Caia,,,
CNA,MMCA,Cananea National Airport,Mexico,Cananea,,,
CNB,YCNM,Coonamble Airport,Australia,,,,
CNC,YCCT,Coconut Island Airport,Australia,,,,
CND,LRCK,Mihail Kogălniceanu International Airport,Romania,Constanța,,,
CNE,,Fremont County Airport,United States of America,Penrose,,,
CNF,SBCF,Tancredo Neves International Airport,Brazil,Belo Horizonte,,,
CNH,KCNH,Claremont Municipal Airport,United States of America,Claremont,,,
CNI,ZYCH,Changhai Dachangshandao Airport,China,Dalian (Changhai),,,
CNJ,YCCY,Cloncurry Airport,Australia,Cloncurry,,,
CNK,KCNK,Blosser Municipal Airport,United States of America,Concordia,,,
CNL,EKSN,Sindal Airport,Denmark,Sindal,,,
CNM,KCNM,Cavern City Air Terminal,United States of America,Carlsbad,,,
CNN,VOKN,Kannur International Airport,India,Kannur,,,
CNO,KCNO,Chino Airport,United States of America,Chino,,,
CNP,BGCO,Neerlerit Inaat Airport,Greenland,Neerlerit Inaat,,,
CNQ,SARC,Corrientes Airport,Argentina,Corrientes,,,
CNR,SCRA,Chañaral Airport,Chile,Chañaral,,,
CNS,YBCS,Cairns International Airport,Australia,Cairns,,,
CNT,,Charata Airport,Argentina,Charata,,,
CNU,KCNU,Chanute Martin Johnson Airport,United States of America,Chanute,,,
CNV,SNED,Sócrates Rezende Airport,Brazil,Canavieiras,,,
CNW,KCNW,TSTC Waco Airport,United States of America,Waco,,,
CNX,VTCC,Chiang Mai International Airport,Thailand,Chiang Mai,,,
CNY,KCNY,Canyonlands Regional Airport,United States of America,Moab,,,
CNZ,,Cangamba Airport,Angola,Cangamba,,,
COA,,Columbia Airport,United States of America,Columbia,,,
COB,,Coolibah Airport,Australia,Coolibah,,,
COC,SAAC,Comodoro Pierrestegui Airport,Argentina,Concordia,,,
COD,KCOD,Yellowstone Regional Airport,United States of America,Cody,,,
COE,KCOE,Coeur D'Alene Airport - Pappy Boyington Field,United States of America,Coeur d'Alene,,,
COF,KCOF,Patrick Space Force Base,United States of America,Cocoa Beach,,,
COG,SKCD,Mandinga Airport,Colombia,Condoto,,,
COH,VECO,Cooch Behar Airport,India,Cooch Behar,,,
COI,KCOI,Merritt Island Airport,United States of America,Merritt Island,,,
COJ,YCBB,Coonabarabran Airport,Australia,,,,
COK,VOCI,Cochin International Airport,India,Kochi,,,
COL,EGEL,Coll Airport,United Kingdom,Coll Island,,,
COM,KCOM,Coleman Municipal Airport,United States of America,Coleman,,,
CON,KCON,Concord Municipal Airport,United States of America,Concord,,,
COO,DBBB,Cotonou Cadjehoun International Airport,Benin,Cotonou,,,
COP,,Cooperstown-Westville Airport,United States of America,Cooperstown,,,
COQ,ZMCD,Choibalsan Airport,Mongolia,,,,
COR,SACO,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,Argentina,Cordoba,,,
COS,KCOS,City of Colorado Springs Municipal Airport,United States of America,Colorado Springs,,,
COT,KCOT,Cotulla-La Salle County Airport,United States of America,Cotulla,,,
COU,KCOU,Columbia Regional Airport,United States of America,Columbia,,,
COV,LTDB,Çukurova International Airport,Turkey,Tarsus,,,
COW,SCCQ,Tambillos Airport,Chile,Coquimbo,,,
COY,YCWY,Coolawanyah Airport,Australia,Coolawanyah Station,,,
COZ,MDCZ,Constanza - Expedición 14 de Junio National Airport,Dominican Republic,Costanza,,,
CPA,GLCP,Cape Palmas Airport,Liberia,Harper,,,
CPB,SKCA,Capurganá Airport,Colombia,Acandí,,,
CPC,SAZY,Aviador C. Campos Airport,Argentina,Chapelco/San Martin de los Andes,,,
CPD,YCBP,Coober Pedy Airport,Australia,Coober Pedy,,,
CPE,MMCP,Ingeniero Alberto Acuña Ongay International Airport,Mexico,Campeche,,,
CPF,WARC,Ngloram Airport,Indonesia,Blora,,,
CPG,,Carmen de Patagones Airport,Argentina,Carmen de Patagones,,,
CPH,EKCH,Copenhagen Kastrup Airport,Denmark,Copenhagen,,,
CPI,,Cape Orford Airport,Papua New Guinea,,,,
CPL,SKHA,General Navas Pardo Airport,Colombia,Chaparral,,,
CPM,KCPM,Compton Woodley Airport,United States of America,Compton,,,
CPN,,Cape Rodney Airport,Papua New Guinea,Cape Rodney,,,
CPO,SCAT,Desierto de Atacama Airport,Chile,Copiapo,,,
CPP,SCKP,Coposa Airport,Chile,Pica,,,
CPR,KCPR,Casper-Natrona County International Airport,United States of America,Casper,,,
CPS,KCPS,St Louis Downtown Airport,United States of America,Cahokia/St Louis,,,
CPT,FACT,Cape Town International Airport,South Africa,Cape Town,,,
CPU,SNCU,Cururupu Airport,Brazil,Cururupu,,,
CPV,SBKG,Presidente João Suassuna Airport,Brazil,Campina Grande,,,
CPX,TJCP,Benjamin Rivera Noriega Airport,Puerto Rico,Culebra,,,
CQA,SWEK,Canarana Airport,Brazil,Canarana,,,
CQD,OIFS,Shahrekord Airport,Iran,Shahrekord,,,
CQF,LFAC,Calais Marck Airport,France,Calais,,,
CQM,LERL,Ciudad Real International Airport,Spain,Ciudad Real,,,
CQP,YCFL,Cape Flattery Airport,Australia,,,,
CQS,SWCQ,Costa Marques Airport,Brazil,Costa Marques,,,
CQT,,Caquetania Airport,Colombia,Caquetania,,,
CQW,ZUWL,Chongqing Xiannüshan Airport,China,Wulong,,,
CRA,LRCV,Craiova International Airport,Romania,Craiova,,,
CRB,YCBR,Collarenebri Airport,Australia,,,,
CRC,SKGO,Santa Ana Airport,Colombia,Cartago,,,
CRD,SAVC,General Enrique Mosconi International Airport,Argentina,Comodoro Rivadavia,,,
CRE,KCRE,Grand Strand Airport,United States of America,North Myrtle Beach,,,
CRF,FEFC,Carnot Airport,Central African Republic,Carnot,,,
CRG,KCRG,Jacksonville Executive at Craig Airport,United States of America,Jacksonville,,,
CRH,YCHB,Cherrabah Airport,Australia,Cherrabah Homestead Resort,,,
CRI,MYCI,Colonel Hill Airport,Bahamas,Colonel Hill,,,
CRJ,,Coorabie Airport,Australia,Coorabie,,,
CRK,RPLC,Clark International Airport / Clark Air Base,Philippines,Mabalacat,,,
CRL,EBCI,Brussels South Charleroi Airport,Belgium,Charleroi,,,
CRM,RPVF,Catarman National Airport,Philippines,Catarman,,,
CRO,KCRO,Corcoran Airport,United States of America,Corcoran,,,
CRP,KCRP,Corpus Christi International Airport,United States of America,Corpus Christi,,,
CRQ,SBCV,Caravelas Airport,Brazil,Caravelas,,,
CRR,SANW,Ceres Airport,Argentina,Ceres,,,
CRS,KCRS,C David Campbell Field Corsicana Municipal Airport,United States of America,Corsicana,,,
CRT,KCRT,Z M Jack Stell Field,United States of America,Crossett,,,
CRU,TGPZ,Lauriston Airport,Grenada,Carriacou Island,,,
CRV,LIBC,Crotone Sant'Anna Pythagoras Airport,Italy,Isola di Capo Rizzuto (KR),,,
CRW,KCRW,Yeager Airport,United States of America,Charleston,,,
CRX,KCRX,Roscoe Turner Airport,United States of America,Corinth,,,
CRY,,Carlton Hill Airport,Australia,Carlton Hill,,,
